Clone_ID,Interval_38960,Interval_38958,Interval_38952,Interval_38957,Interval_38954,Clone,CloneNo
P2_G01,0.519411,0.5209694,0.52108985,0.4168407,0.43305454,P2_G01,0
P2_B11,0.0,0.0,0.39783666,0.0,0.5115187,P2_B11,1
P1_A05,0.35059044,0.2258333,0.0,0.559892,1.0,P1_A05,2
P1_H10,0.26496103,0.60752696,0.8773023,0.51092726,0.493449,P1_H10,3
P1_D09,0.24838504,0.3173981,0.75986105,0.3032384,0.7930416,P1_D09,4
P1_H01,0.5515661,0.6061343,0.8569452,1.0,0.30261466,P1_H01,5
P2_H05,0.4483322,0.3538049,0.9515333,0.631889,0.51296127,P2_H05,6
P2_H04,0.5457356,0.8861909,0.7615273,0.5852388,0.5253931,P2_H04,7
P1_C11,0.8940483,0.056592368,1.0,0.44548705,0.0,P1_C11,8
P1_F10,0.9102645,0.41280177,0.5958193,0.73777544,0.0,P1_F10,9
P2_G09,0.85140127,0.8691497,0.8381189,0.6653104,0.0,P2_G09,10
P1_A08,0.93689454,0.41397193,0.8192875,0.5412135,0.0,P1_A08,11
P1_B10,1.0,1.0,0.8115852,0.4014451,0.0,P1_B10,12
P1_A12,0.8177503,0.4594226,0.72361857,0.7361373,0.86440736,P1_A12,13
P2_A04,0.7114686,0.7829607,0.5014513,0.5520352,0.43052763,P2_A04,14
P1_A03,0.8501063,0.9669051,0.59249735,0.6039052,0.18290418,P1_A03,15
