Clone_ID,Interval_42062,Interval_42063,Interval_42065,Interval_42061,Interval_42058
P1_A03,-0.54310524,-0.25993028,0.23782247,-0.3717516,0.13084987
P1_A05,0.9397203,-1.4053031,0.8467723,0.33862358,0.14732616
P1_A08,-1.5586897,0.1818921,-2.164712,-0.79622364,1.4302784
P1_A12,1.5765948,0.8172262,0.78388965,2.7385721,1.1021993
P1_B10,-0.96988374,-1.4053031,-0.21495926,-0.79622364,1.0529263
P1_C11,-1.2002674,-0.13617642,-0.73571473,-0.79622364,0.18609454
P1_D09,1.3724573,1.4511222,-1.0408207,-0.79622364,-0.07305121
P1_F10,0.6715033,-0.6927354,0.19810791,-0.79622364,0.8491447
P1_H01,-0.53571975,-0.55663466,0.13595197,0.43705952,-0.27952954
P1_H10,0.060938023,2.3029144,0.6494949,1.122435,-0.7805098
P2_A04,0.90694696,1.1573312,1.5248296,0.23288372,-2.1197283
P2_B11,-1.2430242,-0.5044549,-1.6593708,1.0987009,0.7100753
P2_G01,-0.68902814,-0.6426401,0.25167263,0.20878096,-0.44294423
P2_G09,0.5498025,-0.082445696,0.19639188,-0.79622364,-0.8543181
P2_H04,-0.18708262,0.0001410147,-0.24777071,-0.79622364,0.6237556
P2_H05,0.8488311,-0.22500417,1.2384169,-0.23173903,-1.6825718
