Clone_ID,Interval_42078,Interval_42077,Interval_42075,Interval_42084,Interval_42081,Interval_42072,Interval_42082
P1_A03,1.056375,4.4511085,2.8735514,4.5058527,3.8337631,2.1249776,4.066141
P1_A05,1.2952545,4.272742,3.3771508,4.068315,3.7913182,1.9723887,3.939377
P1_A08,0.0,4.334098,3.1413105,4.304642,3.7096984,2.2878435,3.4653554
P1_A12,0.0,4.374764,3.3260524,4.0010686,3.6414428,2.225148,3.4643502
P1_B10,1.8531983,4.2618694,3.114438,4.183001,2.9872298,1.8531983,3.9003901
P1_C11,2.4006636,4.3782797,3.4118044,4.3685517,3.753382,2.468275,3.9645324
P1_D09,1.0271907,4.85451,3.114337,4.8683877,4.0036216,3.0313544,4.4246974
P1_F10,0.52407223,4.331906,3.043467,3.8963485,3.398976,0.52407223,4.121026
P1_H01,2.9884918,4.4281282,3.40243,4.3314247,3.9680047,2.531563,4.1807156
P1_H10,0.6212641,3.8359113,3.3171387,4.107791,3.0059452,2.4003465,3.6836948
P2_A04,4.2447176,4.650237,3.4427223,4.505761,4.3401856,3.0515943,4.213788
P2_B11,3.4660785,4.647941,3.4660785,4.3080926,2.5814617,1.5600176,4.113207
P2_G01,1.3885684,4.48882,3.0592453,4.4367833,3.9396875,2.5083096,4.1014833
P2_G09,0.60039127,4.164462,2.991982,4.4514556,3.4482331,0.972922,4.012898
P2_H04,0.0,4.195608,3.0761993,4.2856016,2.5736203,2.4264765,3.8082001
P2_H05,0.0,3.7885814,3.0786698,4.025647,3.3627577,2.2866163,3.4743757
