Clone_ID,Interval_15297,Interval_15296,Interval_15295,Interval_15289,Interval_15299,Interval_15290,Interval_15298,Interval_15294
P1_A03,3.4145448,2.7156346,4.3814573,2.433224,2.7741966,1.4263738,0.23690747,3.0677562
P1_A05,3.17736,2.5250626,3.7506053,1.6900729,1.2952545,1.018107,0.0,3.6409214
P1_A08,3.532262,4.6542516,4.5429063,3.0407412,2.4904811,2.9289153,0.0,3.1413105
P1_A12,2.5939312,2.5939312,3.8373358,2.5939312,1.1196275,1.6346037,0.0,3.4643502
P1_B10,2.4647367,1.8531983,4.0973754,1.3056525,2.205004,1.3056525,0.0,3.114438
P1_C11,3.1516979,4.0753016,4.2764583,3.1841724,2.468275,2.4006636,3.0100992,2.8889644
P1_D09,1.0271907,1.8531091,3.5048888,0.0,0.0,0.0,0.0,2.2991831
P1_F10,3.166884,1.873513,4.331906,2.6453896,2.6453896,2.48676,0.52407223,3.4217293
P1_H01,2.832479,3.5759501,3.8613253,2.389724,1.6945741,1.5091616,2.1653585,3.0390718
P1_H10,2.1589024,1.7165661,3.6150568,1.5049607,1.5049607,1.2988518,0.0,2.7407162
P2_A04,1.0461695,0.73884517,3.3094974,1.4677172,0.9763403,1.3826609,0.0,2.8785167
P2_B11,3.1983938,3.0761125,4.415899,2.6501505,1.740226,2.5814617,0.6625469,2.831762
P2_G01,2.6238496,2.9473104,4.010309,1.9485086,2.3053133,2.4451146,0.5609158,3.023308
P2_G09,3.7012017,3.4217172,4.3399086,2.3076873,2.386373,1.243721,0.0,3.1448617
P2_H04,2.111663,1.0813842,4.057639,2.166357,1.571595,2.0470674,0.0,2.8733459
P2_H05,2.541035,2.3393583,3.7665038,1.1981091,0.85618293,1.0598421,0.0,3.2884684
