Clone_ID,Eigenpeak 0,Eigenpeak 1,Eigenpeak 2,Eigenpeak 3
P1_A03,0.18614383437095597,0.5587214312223064,-0.5883283009273677,-1.2178164665824478
P1_A05,-0.5373816897253547,0.09671847206948038,-0.5565629926832114,-1.0753727130673805
P1_A08,-0.12507767668948203,0.2088766940109694,-2.291759363579252,1.3455596413432498
P1_A12,-0.1632358973106863,-0.1071424832156267,0.23865813026119811,-2.7709728859672884
P1_B10,0.10158670060973682,0.2849669486373171,-0.8010221863469557,-1.0797397259834016
P1_C11,-0.14795515365434306,-1.1572178217090214,-0.9656741065775979,-0.4452231369197426
P1_D09,-0.2550030996304075,-0.1431425742387619,-0.004882035568906582,-0.980617293489414
P1_F10,0.6274691831461134,-1.0701656062586045,0.14408107247498167,0.4556102884389367
P1_H01,0.4200870065502541,0.2877893465227013,1.1282140476466984,0.27087147019299307
P1_H10,0.25606468882381056,-0.26495556984397006,-0.5669263867481237,3.2192822557664353
P2_A04,-0.4350680164037162,-0.988608512899886,1.5411045888774433,-0.2757947027476531
P2_B11,-0.5924656600552451,0.18418155691057506,1.0369940968443845,3.260235928604434
P2_G01,-0.09894800448460327,1.223385310929551,0.38823750920366185,-0.5994428890357127
P2_G09,0.4808211753249134,0.22467034408761355,0.681206779762283,-0.7107699119963559
P2_H04,0.09774078443335966,1.0538319415045172,0.43049732923266326,0.9530481624565802
P2_H05,0.18518334752950807,-0.3919403818035639,0.18614799756224798,-0.34886915223785525
